rank,word,definition,used_count,used_pct
1,"ὁ, ἡ, τό",(article) the,19863,14.4
2,καί,and,9018,6.5
3,"αὐτός, -ή, -ό ",(3rd person pronoun) he/she/it/they ,5597,4.1
4,σύ ,(2nd person pronoun) you,2908,2.1
5,δέ ,"and, but",2792,2
6,ἐν ,(Dat) in,2752,2
7,ἐγώ ,(1st person pronoun) I,2584,1.9
8,εἰμί ,to be,2462,1.8
9,λέγω ,"to speak, say",2353,1.7
10,εἰς,"(Acc) into, to",1767,1.3
11,"οὐ, οὐκ, οὐχ",not,1623,1.2
12,"ὅς, ἥ, ὅ ","(relative pronoun) who, which, what",1431,1
13,"οὗτος, αὕτη, τοῦτο",this,1387,1
14,"θεός, -οῦ, ὁ ",God,1317,1
15,ὅτι,"that, because (or introduce direct quotation)",1296,0.9
16,"πᾶς, πᾶσα, πᾶν ","all, every",1243,0.9
17,μή,not,1042,0.8
18,γάρ ,for (postpositive particle),1041,0.8
19,Ἰησοῦς,"Jesus, Joshua",917,0.7
20,"ἐκ, ἐξ","(Gen) from, out of",914,0.7
21,ἐπί ,"(Gen) on, upon; (Dat) on, near; (Acc) on, against",890,0.6
22,"κύριος, -ου, ὁ ","Lord, lord, master",717,0.5
23,ἔχω,to have,708,0.5
24,πρός ,"(Acc) to, toward; (Dat) at, on; (Gen) for the sake of",700,0.5
25,γίνομαι ,"to become, happen",669,0.5
26,διά,(Gen) through; (Acc) because of,667,0.5
27,ἵνα ,in order that,663,0.5
28,ἀπό,"(Gen) from, away from",646,0.5
29,ἀλλά ,"but, except",638,0.5
30,ἔρχομαι ,"to come, go",632,0.5
31,ποιέω ,"to make, do",568,0.4
32,"τίς, τί ",(interrogative pronoun) who? which? what?,555,0.4
33,"ἄνθρωπος, -ου, ὁ ","human being, person; (pl) humanity, people",550,0.4
34,"τὶς, τὶ","(indefinite pronoun) anyone/thing, someone/thing",534,0.4
35,"Χριστός, -οῦ, ὁ ",Christ (= Hebrew Messiah = Anointed One),529,0.4
36,ὡς,"as, like",504,0.4
37,εἰ ,if,502,0.4
38,οὖν,therefore,499,0.4
39,ὁράω ,to see,483,0.3
40,κατά ,"(Gen) down, against; (Acc) along, at according to",473,0.3
41,μετά,(Gen) with; (Acc) after,469,0.3
42,ἀκούω,to hear,428,0.3
43,"πολύς, πολλή, πολύ ","much, many",416,0.3
44,δίδωμι ,to give,415,0.3
45,"πατήρ, πατρός, ὁ ",father,413,0.3
46,"ἡμέρα, -ας, ἡ ",day,389,0.3
47,"πνεῦμα, -τος, τό ","spirit, self; wind; breath",379,0.3
48,"υἱός, -οῦ, ὁ ",son,377,0.3
49,"εἷς, μία, ἕν",one; single,345,0.2
50,"ἀδελφός, -οῦ, ὁ ",brother,343,0.2
51,ἤ ,or; than,343,0.2
52,ἐάν ,if,333,0.2
53,περί ,"(Gen) about; (Acc) around, about",333,0.2
54,"λόγος, -ου, ὁ ",word,330,0.2
55,"ἑαυτοῦ, -ῆς, -οῦ ",(reflexive pronoun) one’s self,319,0.2
56,οἶδα ,to know,318,0.2
57,λαλέω ,"to speak, talk, say",296,0.2
58,"οὐρανός, -οῦ, ὁ","heaven, sky",273,0.2
59,"μαθητής, -οῦ, ὁ ","disciple, student",261,0.2
60,λαμβάνω ,"to take, receive",258,0.2
61,"γῆ, γῆς, ἡ ","earth, land, ground",250,0.2
62,"ἐκεῖνος, -η, -ο ",that,243,0.2
63,"μέγας, μεγάλη, μέγα ","great, large",243,0.2
64,"πίστις, -εως, ἡ ","faith, trust, belief",243,0.2
65,πιστεύω,"to believe, trust, have faith; entrust",241,0.2
66,"οὐδείς, οὐδεμία, οὐδέν","no one, nothing",234,0.2
67,"ἅγιος, -α, -ον ","holy, sacred; (pl) saints",233,0.2
68,ἀποκρίνομαι,"answer, reply",231,0.2
69,"ὄνομα, -τος, τό ",name,230,0.2
70,γινώσκω ,to know,222,0.2
71,ὑπό,(Gen) by; (Acc) under,220,0.2
72,ἐξέρχομαι ,to come / go out,218,0.2
73,"ἀνήρ, ἀνδρός, ὁ ","man, husband",216,0.2
74,"γυνή, -αικός, ἡ ","woman, wife",215,0.2
75,τέ ,and,215,0.2
76,δύναμαι ,"to be able to, can",210,0.2
77,οὕτω / οὔτως ,"in this way, thus",208,0.2
78,θέλω ,"to want to, wish to",208,0.2
79,ἰδού ,behold! look! see!,200,0.14
80,"Ἰουδαῖος, -α, -ον ",a Jew; Jewish; Judean  ,195,0.14
81,εἰσέρχομαι,to come / go in,194,0.14
82,"νόμος, -ου, ὁ ",law,194,0.14
83,παρά ,"(Gen) from; (Dat) with, near; (Acc) beside, along",194,0.14
84,γράφω ,to write,191,0.14
85,"κόσμος, -ου, ὁ ","world, universe",186,0.13
86,καθώς,"as, just as",182,0.13
87,μέν ,"particle indicating contrast, emphasis or continuation",179,0.13
88,"χείρ, χειρός, ἡ ",hand,177,0.13
89,εὑρίσκω,"to find, discover",176,0.13
90,"ἄγγελος, -ου, ὁ ","angel, messenger",175,0.13
91,"ὄχλος, -ου, ὁ ",crowd,175,0.13
92,"ἁμαρτία, -ας, ἡ ","a sin, sin",173,0.13
93,"ἔργον, -ου, τό ","work, deed",169,0.12
94,ἄν ,particle indicating contingency or uncertainty,166,0.12
95,"δόξα, -ης, ἡ ",glory,166,0.12
96,"πόλις, -εως, ἡ ",city,163,0.12
97,"βασιλεία, -ας, ἡ ","dominion, kingdom",162,0.12
98,"ἔθνος, -ους, τό ","nation, people; (pl) Gentiles",162,0.12
99,τότε ,then,160,0.12
100,"Παῦλος, -ου, ὁ ",Paul,158,0.11
101,ἐσθίω ,to eat,157,0.14
102,"καρδία, -ας, ἡ ",heart,156,0.14
103,"Πέτρος, -ου, ὁ ",rock,156,0.14
104,"ἄλλος, -η, -ο ",(an)other,155,0.11
105,"χάρις, -ιτος, ἡ ","grace, kindness, mercy",155,0.11
106,ἵστημι ,"to set, place, establish; (intran) stand",155,0.11
107,"πρῶτος, -η, -ον ",first,155,0.11
108,πορεύομαι ,"to go, proceed, travel; live, walk",153,0.11
109,ὑπέρ,"(Gen) for, for the sake of; (Acc) over, above, beyond",150,0.11
110,καλέω ,"to  call, name; summon",148,0.11
111,νῦν ,now,147,0.11
112,"σάρξ, σαρκός, ἡ ",flesh,147,0.11
113,ἕως,until,146,0.11
114,ἐγείρω ,to raise,144,0.11
115,"ὅστις, ἥτις, ὅτι ","who, which; whoever, whichever",144,0.11
116,"προφήτης, -ου, ὁ ",prophet,144,0.11
117,ἀφίημι ,"to forgive, allow, leave, dismiss",143,0.1
118,ἀγαπάω,to love,143,0.1
119,οὐδέ,"and not, neither, nor",143,0.1
120,"λαός, -οῦ, ὁ ",people,142,0.1
121,"σῶμα, -τος, τό ",body,142,0.1
122,πάλιν ,again,141,0.1
123,ζάω,to live,140,0.1
124,"φωνή, -ῆς, ἡ ","voice, sound",139,0.1
125,δύο ,two,135,0.1
126,"Ἰωάννης, -ου, ὁ ",John,135,0.1
127,"ζωή, -ῆς, ἡ ",life,135,0.1
128,ἀποστέλλω,to send (forth),132,0.1
129,βλέπω ,to see,132,0.1
130,ἀμήν ,"amen, truly",129,0.1
131,"νεκρός, -ά, -όν ",dead,128,0.1
132,σύν ,with,128,0.1
133,"δοῦλος, -η, -ον ",slave,126,0.09
134,"ἀγαθός, -ή, -όν","good, useful, beneficial",125,0.09
135,ὅταν,whenever,123,0.09
